Year,Quarter,pincode,Transaction_count,Transaction_amount
2018,1,560001,2917356,4684262246.184548
2018,1,110006,2636324,3714139312.238586
2018,1,400008,2227885,3105208723.475169
2018,1,600003,2010196,2997847000.265506
2018,1,731101,1764956,2366771285.7278423
2018,1,700009,1390629,1851145374.4001179
2018,1,411001,1055656,1413523605.5956619
2018,1,500012,933013,1643061976.4262943
2018,1,462001,832846,898730606.684653
2018,1,201301,690196,987613438.9540119
2018,2,560001,3777086,7545089760.607167
2018,2,110006,3069733,5237594871.124264
2018,2,600003,2771900,5194488793.022476
2018,2,400008,2631405,4703762207.003538
2018,2,731101,2134258,3697928407.603048
2018,2,700009,1473202,2566583723.725673
2018,2,411001,1316115,2145613783.5507011
2018,2,500012,1024336,2257038218.1929708
2018,2,201301,971854,1673280979.3831716
2018,2,462001,928983,1443626493.1959715
2018,3,110006,7198882,9029499185.157822
2018,3,560001,5764203,10161197002.295376
2018,3,600003,4430587,7070098756.153783
2018,3,400008,3111609,5436005565.19679
2018,3,731101,2644866,4429377129.783087
2018,3,700009,2531420,3555553312.5767612
2018,3,500012,1726388,3077635699.337487
2018,3,411001,1689517,2829639683.4067717
2018,3,221001,1439623,671779876.5266988
2018,3,201301,1438458,2181626866.4046803
2018,4,560001,7725284,14030425393.295612
2018,4,110006,7532374,11605568511.039162
2018,4,600003,5539392,10066365923.24963
2018,4,400008,4586309,8474903607.1238575
2018,4,731101,3284268,5847016363.011223
2018,4,700009,2939284,4991163446.523161
2018,4,500012,2576408,4841883809.168822
2018,4,201301,2504916,3217987818.841588
2018,4,411001,2176631,3917444399.4306126
2018,4,560068,1630650,1941175277.185885
2019,1,560001,16241340,23597361226.512825
2019,1,110006,10251048,13201959766.05106
2019,1,500012,9957548,15399177052.931395
2019,1,600003,8217185,12799152324.27052
2019,1,110011,6689740,9632804730.117004
2019,1,400008,6494529,10238553958.763014
2019,1,700009,6353573,7885002278.529919
2019,1,411006,5641935,9202990658.018358
2019,1,302001,4954219,7600396570.221162
2019,1,201301,4596696,4223121104.413077
2019,2,560001,27169035,40026681539.0066
2019,2,500012,23303184,42709920754.79193
2019,2,411006,22544991,34073354893.758354
2019,2,110011,20001452,31366326747.68567
2019,2,302001,14130072,26047079270.71371
2019,2,700009,9694969,12068405239.946836
2019,2,800015,9362673,19331794343.882797
2019,2,226004,8966947,16438621373.818607
2019,2,751002,8318660,12733845249.989027
2019,2,600003,6992850,13700604318.48539
2019,3,560001,34182229,49823702321.09828
2019,3,500012,27360144,55516914964.120514
2019,3,411006,25995035,42031275308.282005
2019,3,110011,20159577,36968948004.60185
2019,3,302001,15037317,31903765546.790287
2019,3,700009,11494363,14573984421.133255
2019,3,751002,9990982,16300297217.157505
2019,3,800015,8554034,21451659382.23745
2019,3,400008,7234595,14467758895.186302
2019,3,226004,6687157,17110382946.6282
2019,4,560001,48600127,67204107791.7798
2019,4,411006,32779718,51360244641.273315
2019,4,500012,32637373,67244225971.71475
2019,4,110011,22861243,44827058149.79611
2019,4,302001,17153003,41220743922.1253
2019,4,700009,16310685,18429094743.25623
2019,4,751002,13743261,19669451911.7042
2019,4,400008,10498727,22289347327.905037
2019,4,800015,10441675,26228173437.46787
2019,4,600003,10008230,21375916666.727257
2020,1,500001,63671159,139394865595.49792
2020,1,560001,57330889,81134886975.52737
2020,1,411004,43278566,64894935103.99599
2020,1,302016,24180734,56174137377.66255
2020,1,110006,19881142,34803706848.31907
2020,1,600003,14352747,29310364582.884754
2020,1,110001,13167147,27716426760.692245
2020,1,700009,13084249,24503076745.659294
2020,1,751001,11782987,25543182753.84958
2020,1,400070,10817537,21066837485.651253
2020,2,500001,39752686,101961882246.87434
2020,2,560001,38973791,66590268182.415665
2020,2,411004,27617700,58352702890.56202
2020,2,302016,22032140,53610675078.51194
2020,2,110006,14401400,26006450222.981194
2020,2,110001,9780539,21370003546.27849
2020,2,800001,9603835,29875811977.924408
2020,2,751001,9411361,23813152297.287315
2020,2,600003,8641869,22394007817.575096
2020,2,380001,8490730,21210698645.19712
2020,3,500001,70732132,177532009421.7673
2020,3,560001,56516908,95602796543.47356
2020,3,411004,49082232,94100767700.43585
2020,3,302016,34723808,78104750484.0607
2020,3,110006,27731187,53768475790.81149
2020,3,462008,18608188,42836925858.3958
2020,3,800001,14656027,41210183921.21666
2020,3,700009,14161961,35897930520.847115
2020,3,751001,11770940,27337331950.38349
2020,3,110001,11598940,25361403335.98009
2020,4,500001,63797806,154104662898.10648
2020,4,560001,56310863,93518053649.26508
2020,4,411004,48628369,83733590846.60262
2020,4,302016,31028451,71599277148.69725
2020,4,110006,24969702,48831647275.471146
2020,4,462008,20637374,44520942803.43778
2020,4,800001,14983099,39976507362.54611
2020,4,600003,11690163,26114457256.846283
